com.flashforceapp.flyersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.flyersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.flyersalt1,published,managed_by_android,false,en_US; NA Pro Hockey Gold Alternate Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.saintsdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home New Orleans; Flash Force Pattern,true,990000
com.flashforceapp.saintsaway,published,managed_by_android,false,en_US; American Pro 🏈 Away New Orleans; Flash Force Pattern,true,990000
com.flashforceapp.bearsdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Chicago; Flash Force Pattern,true,990000
com.flashforceapp.bearsaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Chicago; Flash Force Pattern,true,990000
com.flashforceapp.bearsalt1,published,managed_by_android,false,en_US; American Pro 🏈 Orange Alternate Chicago; Flash Force Pattern,true,990000
com.flashforceapp.steelersdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.steelersaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.steelersalt1,published,managed_by_android,false,en_US; American Pro 🏈 Throwback Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.patriotsdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home New England; Flash Force Pattern,true,990000
com.flashforceapp.patriotsaway,published,managed_by_android,false,en_US; American Pro 🏈 Away New England; Flash Force Pattern,true,990000
com.flashforceapp.patriotsalt1,published,managed_by_android,false,en_US; American Pro 🏈 Red Alternate New England; Flash Force Pattern,true,990000
com.flashforceapp.jetsdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home New York 2; Flash Force Pattern,true,990000
com.flashforceapp.jetsaway,published,managed_by_android,false,en_US; American Pro 🏈 Away New York 2; Flash Force Pattern,true,990000
com.flashforceapp.panthersdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Carolina; Flash Force Pattern,true,990000
com.flashforceapp.panthersaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Carolina; Flash Force Pattern,true,990000
com.flashforceapp.panthersalt1,published,managed_by_android,false,en_US; American Pro 🏈 Blue Alternate Carolina; Flash Force Pattern,true,990000
com.flashforceapp.fortyninersdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.fortyninersaway,published,managed_by_android,false,en_US; American Pro 🏈 Away San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.buccaneersdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.buccaneersaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.eaglesdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.eaglesaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.eaglesalt1,published,managed_by_android,false,en_US; American Pro 🏈 Black Alternate Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.coltsdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Indianapolis; Flash Force Pattern,true,990000
com.flashforceapp.coltsaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Indianapolis; Flash Force Pattern,true,990000
com.flashforceapp.seahawksdefault,published,managed_by_android,false,en_US; American Pro 🏈 Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.seahawksaway,published,managed_by_android,false,en_US; American Pro 🏈 Away Seattle; Flash Force Pattern,true,990000
com.flashforceapp.seahawksalt1,published,managed_by_android,false,en_US; American Pro 🏈 Gray Alternate Seattle; Flash Force Pattern,true,990000
