com.flashforceapp.lightningdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.lightningaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.lightningalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.kingsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.kingsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.flamesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Calgary; Flash Force Pattern,true,990000
com.flashforceapp.flamesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Calgary; Flash Force Pattern,true,990000
com.flashforceapp.blackhawksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Chicago; Flash Force Pattern,true,990000
com.flashforceapp.blackhawksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Chicago; Flash Force Pattern,true,990000
com.flashforceapp.avalancedefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Colorado; Flash Force Pattern,true,990000
com.flashforceapp.avalanceaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Colorado; Flash Force Pattern,true,990000
com.flashforceapp.avalancealt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Colorado; Flash Force Pattern,true,990000
com.flashforceapp.coyotesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Arizona; Flash Force Pattern,true,990000
com.flashforceapp.coyotesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Arizona; Flash Force Pattern,true,990000
com.flashforceapp.senatorsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.senatorsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.senatorsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Ottawa; Flash Force Pattern,true,990000
com.flashforceapp.islandersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New York (Brooklyn); Flash Force Pattern,true,990000
com.flashforceapp.islandersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New York (Brooklyn); Flash Force Pattern,true,990000
com.flashforceapp.canucksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Vancouver; Flash Force Pattern,true,990000
com.flashforceapp.canucksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Vancouver; Flash Force Pattern,true,990000
com.flashforceapp.flyersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.flyersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.flyersalt1,published,managed_by_android,false,en_US; NA Pro Hockey Gold Alternate Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.saintsdefault,published,managed_by_android,false,en_US; American Pro Football Home New Orleans; Flash Force Pattern,true,990000
com.flashforceapp.saintsaway,published,managed_by_android,false,en_US; American Pro Football Away New Orleans; Flash Force Pattern,true,990000
com.flashforceapp.bearsdefault,published,managed_by_android,false,en_US; American Pro Football Home Chicago; Flash Force Pattern,true,990000
com.flashforceapp.bearsaway,published,managed_by_android,false,en_US; American Pro Football Away Chicago; Flash Force Pattern,true,990000
com.flashforceapp.bearsalt1,published,managed_by_android,false,en_US; American Pro Football Orange Alternate Chicago; Flash Force Pattern,true,990000
com.flashforceapp.steelersdefault,published,managed_by_android,false,en_US; American Pro Football Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.steelersaway,published,managed_by_android,false,en_US; American Pro Football Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.steelersalt1,published,managed_by_android,false,en_US; American Pro Football Throwback Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.patriotsdefault,published,managed_by_android,false,en_US; American Pro Football Home New England; Flash Force Pattern,true,990000
com.flashforceapp.patriotsaway,published,managed_by_android,false,en_US; American Pro Football Away New England; Flash Force Pattern,true,990000
com.flashforceapp.patriotsalt1,published,managed_by_android,false,en_US; American Pro Football Red Alternate New England; Flash Force Pattern,true,990000
com.flashforceapp.jetsdefault,published,managed_by_android,false,en_US; American Pro Football Home New York 2; Flash Force Pattern,true,990000
com.flashforceapp.jetsaway,published,managed_by_android,false,en_US; American Pro Football Away New York 2; Flash Force Pattern,true,990000
com.flashforceapp.panthersdefault,published,managed_by_android,false,en_US; American Pro Football Home Carolina; Flash Force Pattern,true,990000
com.flashforceapp.panthersaway,published,managed_by_android,false,en_US; American Pro Football Away Carolina; Flash Force Pattern,true,990000
com.flashforceapp.panthersalt1,published,managed_by_android,false,en_US; American Pro Football Blue Alternate Carolina; Flash Force Pattern,true,990000
com.flashforceapp.fortyninersdefault,published,managed_by_android,false,en_US; American Pro Football Home San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.fortyninersaway,published,managed_by_android,false,en_US; American Pro Football Away San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.buccaneersdefault,published,managed_by_android,false,en_US; American Pro Football Home Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.buccaneersaway,published,managed_by_android,false,en_US; American Pro Football Away Tampa Bay; Flash Force Pattern,true,990000
com.flashforceapp.eaglesdefault,published,managed_by_android,false,en_US; American Pro Football Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.eaglesaway,published,managed_by_android,false,en_US; American Pro Football Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.eaglesalt1,published,managed_by_android,false,en_US; American Pro Football Black Alternate Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.coltsdefault,published,managed_by_android,false,en_US; American Pro Football Home Indianapolis; Flash Force Pattern,true,990000
com.flashforceapp.coltsaway,published,managed_by_android,false,en_US; American Pro Football Away Indianapolis; Flash Force Pattern,true,990000
com.flashforceapp.seahawksdefault,published,managed_by_android,false,en_US; American Pro Football Home Seattle; Flash Force Pattern,true,990000
com.flashforceapp.seahawksaway,published,managed_by_android,false,en_US; American Pro Football Away Seattle; Flash Force Pattern,true,990000
com.flashforceapp.seahawksalt1,published,managed_by_android,false,en_US; American Pro Football Gray Alternate Seattle; Flash Force Pattern,true,990000
com.flashforceapp.cardinalsdefault,published,managed_by_android,false,en_US; American Pro Football Home Arizona; Flash Force Pattern,true,990000
com.flashforceapp.cardinalsaway,published,managed_by_android,false,en_US; American Pro Football Away Arizona; Flash Force Pattern,true,990000
com.flashforceapp.cardinalsalt1,published,managed_by_android,false,en_US; American Pro Football Alternate Arizona; Flash Force Pattern,true,990000
